kind,sample,x,y,value
mean,0,0.157895,0.526316,0.000430
mean,0,0.210526,0.526316,0.000588
mean,0,0.263158,0.526316,0.000672
mean,0,0.315789,0.526316,0.000587
mean,0,0.368421,0.526316,0.000442
mean,0,0.421053,0.526316,0.000346
mean,0,0.473684,0.526316,0.000357
mean,0,0.526316,0.526316,0.000551
mean,0,0.578947,0.526316,0.001129
mean,0,0.631579,0.526316,0.002597
mean,0,0.684211,0.526316,0.005928
mean,0,0.736842,0.526316,0.012182
mean,0,0.789474,0.526316,0.019051
mean,0,0.842105,0.526316,0.010952
mean,0,0.894737,0.526316,0.003406
mean,0,0.947368,0.526316,-0.000922
mean,0,1.000000,0.526316,-0.002351
mean,0,0.000000,0.578947,0.000191
mean,0,0.052632,0.578947,0.000296
mean,0,0.105263,0.578947,0.000541
mean,0,0.157895,0.578947,0.000962
mean,0,0.210526,0.578947,0.001506
mean,0,0.263158,0.578947,0.001853
mean,0,0.315789,0.578947,0.001512
mean,0,0.368421,0.578947,0.000984
mean,0,0.421053,0.578947,0.000610
mean,0,0.473684,0.578947,0.000492
mean,0,0.526316,0.578947,0.000738
mean,0,0.578947,0.578947,0.001725
mean,0,0.631579,0.578947,0.004617
mean,0,0.684211,0.578947,0.012504
mean,0,0.736842,0.578947,0.032098
mean,0,0.789474,0.578947,0.067760
mean,0,0.842105,0.578947,0.031648
mean,0,0.894737,0.578947,0.011635
mean,0,0.947368,0.578947,0.003512
mean,0,1.000000,0.578947,0.000847
mean,0,0.000000,0.631579,0.000312
mean,0,0.052632,0.631579,0.000551
mean,0,0.105263,0.631579,0.001154
mean,0,0.157895,0.631579,0.002334
mean,0,0.210526,0.631579,0.004128
mean,0,0.263158,0.631579,0.005576
mean,0,0.315789,0.631579,0.004136
mean,0,0.368421,0.631579,0.002358
mean,0,0.421053,0.631579,0.001225
mean,0,0.473684,0.631579,0.000758
mean,0,0.526316,0.631579,0.000920
mean,0,0.578947,0.631579,0.002141
mean,0,0.631579,0.631579,0.006259
mean,0,0.684211,0.631579,0.019877
mean,0,0.736842,0.631579,0.068046
mean,0,0.789474,0.631579,0.256004
mean,0,0.842105,0.631579,0.067893
mean,0,0.894737,0.631579,0.019607
mean,0,0.947368,0.631579,0.006000
mean,0,1.000000,0.631579,0.002228
mean,0,0.000000,0.684211,0.000507
mean,0,0.052632,0.684211,0.000991
mean,0,0.105263,0.684211,0.002343
mean,0,0.157895,0.684211,0.005426
mean,0,0.210526,0.684211,0.011225
mean,0,0.263158,0.684211,0.017763
mean,0,0.315789,0.684211,0.011231
mean,0,0.368421,0.684211,0.005447
mean,0,0.421053,0.684211,0.002401
mean,0,0.473684,0.684211,0.001152
mean,0,0.526316,0.684211,0.000963
mean,0,0.578947,0.684211,0.001800
mean,0,0.631579,0.684211,0.004660
mean,0,0.684211,0.684211,0.012575
mean,0,0.736842,0.684211,0.032252
mean,0,0.789474,0.684211,0.068069
mean,0,0.842105,0.684211,0.032205
mean,0,0.894737,0.684211,0.012508
mean,0,0.947368,0.684211,0.004653
mean,0,1.000000,0.684211,0.002066
mean,0,0.000000,0.736842,0.000726
mean,0,0.052632,0.736842,0.001555
mean,0,0.105263,0.736842,0.004145
mean,0,0.157895,0.736842,0.011230
mean,0,0.210526,0.736842,0.028806
mean,0,0.263158,0.736842,0.060785
mean,0,0.315789,0.736842,0.028810
mean,0,0.368421,0.736842,0.011243
mean,0,0.421053,0.736842,0.004178
mean,0,0.473684,0.736842,0.001641
mean,0,0.526316,0.736842,0.000941
mean,0,0.578947,0.736842,0.001238
mean,0,0.631579,0.736842,0.002665
mean,0,0.684211,0.736842,0.006087
mean,0,0.736842,0.736842,0.012569
mean,0,0.789474,0.736842,0.019886
mean,0,0.842105,0.736842,0.012556
mean,0,0.894737,0.736842,0.006075
mean,0,0.947368,0.736842,0.002691
mean,0,1.000000,0.736842,0.001384
mean,0,0.000000,0.789474,0.000842
mean,0,0.052632,0.789474,0.001911
mean,0,0.105263,0.789474,0.005597
mean,0,0.157895,0.789474,0.017773
mean,0,0.210526,0.789474,0.060790
mean,0,0.263158,0.789474,0.228545
mean,0,0.315789,0.789474,0.060792
mean,0,0.368421,0.789474,0.017778
mean,0,0.421053,0.789474,0.005608
mean,0,0.473684,0.789474,0.001932
mean,0,0.526316,0.789474,0.000864
mean,0,0.578947,0.789474,0.000783
mean,0,0.631579,0.789474,0.001342
mean,0,0.684211,0.789474,0.002624
mean,0,0.736842,0.789474,0.004620
mean,0,0.789474,0.789474,0.006236
mean,0,0.842105,0.789474,0.004616
mean,0,0.894737,0.789474,0.002619
mean,0,0.947368,0.789474,0.001341
mean,0,1.000000,0.789474,0.000780
mean,0,0.000000,0.842105,0.000731
mean,0,0.052632,0.842105,0.001562
mean,0,0.105263,0.842105,0.004156
mean,0,0.157895,0.842105,0.011246
mean,0,0.210526,0.842105,0.028826
mean,0,0.263158,0.842105,0.060806
mean,0,0.315789,0.842105,0.028827
mean,0,0.368421,0.842105,0.011246
mean,0,0.421053,0.842105,0.004154
mean,0,0.473684,0.842105,0.001547
mean,0,0.526316,0.842105,0.000664
mean,0,0.578947,0.842105,0.000471
mean,0,0.631579,0.842105,0.000637
mean,0,0.684211,0.842105,0.001073
mean,0,0.736842,0.842105,0.001671
mean,0,0.789474,0.842105,0.002056
mean,0,0.842105,0.842105,0.001668
mean,0,0.894737,0.842105,0.001065
mean,0,0.947368,0.842105,0.000614
mean,0,1.000000,0.842105,0.000396
mean,0,0.000000,0.894737,0.000520
mean,0,0.052632,0.894737,0.001010
mean,0,0.105263,0.894737,0.002375
mean,0,0.157895,0.894737,0.005475
mean,0,0.210526,0.894737,0.011289
mean,0,0.263158,0.894737,0.017833
mean,0,0.315789,0.894737,0.011288
mean,0,0.368421,0.894737,0.005473
mean,0,0.421053,0.894737,0.002367
mean,0,0.473684,0.894737,0.000985
mean,0,0.526316,0.894737,0.000439
mean,0,0.578947,0.894737,0.000273
mean,0,0.631579,0.894737,0.000297
mean,0,0.684211,0.894737,0.000432
mean,0,0.736842,0.894737,0.000608
mean,0,0.789474,0.894737,0.000705
mean,0,0.842105,0.894737,0.000605
mean,0,0.894737,0.894737,0.000422
mean,0,0.947368,0.894737,0.000269
mean,0,1.000000,0.894737,0.000188
mean,0,0.000000,0.947368,0.000340
mean,0,0.052632,0.947368,0.000595
mean,0,0.105263,0.947368,0.001233
mean,0,0.157895,0.947368,0.002464
mean,0,0.210526,0.947368,0.004310
mean,0,0.263158,0.947368,0.005781
mean,0,0.315789,0.947368,0.004309
mean,0,0.368421,0.947368,0.002461
mean,0,0.421053,0.947368,0.001224
mean,0,0.473684,0.947368,0.000570
mean,0,0.526316,0.947368,0.000271
mean,0,0.578947,0.947368,0.000160
mean,0,0.631579,0.947368,0.000145
mean,0,0.684211,0.947368,0.000181
mean,0,0.736842,0.947368,0.000231
mean,0,0.789474,0.947368,0.000257
mean,0,0.842105,0.947368,0.000228
mean,0,0.894737,0.947368,0.000171
mean,0,0.947368,0.947368,0.000119
mean,0,1.000000,0.947368,0.000090
mean,0,0.000000,1.000000,0.000244
mean,0,0.052632,1.000000,0.000393
mean,0,0.105263,1.000000,0.000732
mean,0,0.157895,1.000000,0.001303
mean,0,0.210526,1.000000,0.002017
mean,0,0.263158,1.000000,0.002453
mean,0,0.315789,1.000000,0.002016
mean,0,0.368421,1.000000,0.001300
mean,0,0.421053,1.000000,0.000724
mean,0,0.473684,1.000000,0.000370
mean,0,0.526316,1.000000,0.000188
mean,0,0.578947,1.000000,0.000109
mean,0,0.631579,1.000000,0.000087
mean,0,0.684211,1.000000,0.000095
mean,0,0.736842,1.000000,0.000111
mean,0,0.789474,1.000000,0.000119
mean,0,0.842105,1.000000,0.000108
mean,0,0.894737,1.000000,0.000086
mean,0,0.947368,1.000000,0.000064
mean,0,1.000000,1.000000,0.000051
sample,0,0.000000,0.000000,0.311754
sample,0,0.052632,0.000000,0.572414
sample,0,0.105263,0.000000,0.849024
sample,0,0.157895,0.000000,0.507205
sample,0,0.210526,0.000000,0.548591
sample,0,0.263158,0.000000,0.182045
sample,0,0.315789,0.000000,-0.318469
sample,0,0.368421,0.000000,0.233485
sample,0,0.421053,0.000000,0.518229
sample,0,0.473684,0.000000,0.024014
sample,0,0.526316,0.000000,-0.281109
sample,0,0.578947,0.000000,-0.180399
sample,0,0.631579,0.000000,-0.418672
sample,0,0.684211,0.000000,-0.264479
sample,0,0.736842,0.000000,-0.383791
sample,0,0.789474,0.000000,-0.171631
sample,0,0.842105,0.000000,0.121189
sample,0,0.894737,0.000000,0.361702
sample,0,0.947368,0.000000,0.144843
sample,0,1.000000,0.000000,0.323435
sample,0,0.000000,0.052632,-0.393928
sample,0,0.052632,0.052632,-0.031466
sample,0,0.105263,0.052632,0.110855
sample,0,0.157895,0.052632,0.298807
sample,0,0.210526,0.052632,0.508347
sample,0,0.263158,0.052632,0.380225
sample,0,0.315789,0.052632,0.154243
sample,0,0.368421,0.052632,0.186576
sample,0,0.421053,0.052632,0.595836
sample,0,0.473684,0.052632,0.082017
sample,0,0.526316,0.052632,0.089904
sample,0,0.578947,0.052632,-0.192909
sample,0,0.631579,0.052632,-0.618398
sample,0,0.684211,0.052632,-0.415106
sample,0,0.736842,0.052632,-0.189166
sample,0,0.789474,0.052632,0.126964
sample,0,0.842105,0.052632,0.141788
sample,0,0.894737,0.052632,-0.354573
sample,0,0.947368,0.052632,0.089785
sample,0,1.000000,0.052632,-0.014100
sample,0,0.000000,0.105263,-0.354189
sample,0,0.052632,0.105263,0.187717
sample,0,0.105263,0.105263,0.506184
sample,0,0.157895,0.105263,0.167977
sample,0,0.210526,0.105263,0.021958
sample,0,0.263158,0.105263,0.288225
sample,0,0.315789,0.105263,0.112767
sample,0,0.368421,0.105263,-0.229599
sample,0,0.421053,0.105263,-0.297923
sample,0,0.473684,0.105263,0.136100
sample,0,0.526316,0.105263,0.267960
sample,0,0.578947,0.105263,0.096989
sample,0,0.631579,0.105263,-0.234247
sample,0,0.684211,0.105263,-0.173325
sample,0,0.736842,0.105263,-0.004485
sample,0,0.789474,0.105263,-0.110298
sample,0,0.842105,0.105263,0.323722
sample,0,0.894737,0.105263,0.001017
sample,0,0.947368,0.105263,-0.445192
sample,0,1.000000,0.105263,-0.303885
sample,0,0.000000,0.157895,0.249066
sample,0,0.052632,0.157895,0.374707
sample,0,0.105263,0.157895,0.332779
sample,0,0.157895,0.157895,0.095244
sample,0,0.210526,0.157895,-0.160677
sample,0,0.263158,0.157895,0.275507
sample,0,0.315789,0.157895,0.320553
sample,0,0.368421,0.157895,0.112418
sample,0,0.421053,0.157895,0.051789
sample,0,0.473684,0.157895,0.001879
sample,0,0.526316,0.157895,0.287958
sample,0,0.578947,0.157895,0.491623
sample,0,0.631579,0.157895,-0.053970
sample,0,0.684211,0.157895,0.176691
sample,0,0.736842,0.157895,0.476513
sample,0,0.789474,0.157895,0.344886
sample,0,0.842105,0.157895,0.213531
sample,0,0.894737,0.157895,0.055755
sample,0,0.947368,0.157895,-0.462424
sample,0,1.000000,0.157895,-0.108126
sample,0,0.000000,0.210526,0.464744
sample,0,0.052632,0.210526,0.623290
sample,0,0.105263,0.210526,0.327148
sample,0,0.157895,0.210526,-0.004022
sample,0,0.210526,0.210526,0.059868
sample,0,0.263158,0.210526,0.062326
sample,0,0.315789,0.210526,0.077270
sample,0,0.368421,0.210526,-0.113412
sample,0,0.421053,0.210526,-0.030170
sample,0,0.473684,0.210526,-0.229328
sample,0,0.526316,0.210526,-0.175713
sample,0,0.578947,0.210526,0.001119
sample,0,0.631579,0.210526,-0.041696
sample,0,0.684211,0.210526,-0.218678
sample,0,0.736842,0.210526,0.148895
sample,0,0.789474,0.210526,0.404802
sample,0,0.842105,0.210526,0.499022
sample,0,0.894737,0.210526,0.241425
sample,0,0.947368,0.210526,-0.202151
sample,0,1.000000,0.210526,0.139960
sample,0,0.000000,0.263158,0.086123
sample,0,0.052632,0.263158,0.166006
sample,0,0.105263,0.263158,0.354668
sample,0,0.157895,0.263158,0.210035
sample,0,0.210526,0.263158,-0.125921
sample,0,0.263158,0.263158,-0.192456
sample,0,0.315789,0.263158,0.104903
sample,0,0.368421,0.263158,-0.039897
sample,0,0.421053,0.263158,-0.417744
sample,0,0.473684,0.263158,-0.392497
sample,0,0.526316,0.263158,-0.156450
sample,0,0.578947,0.263158,-0.148415
sample,0,0.631579,0.263158,-0.335403
sample,0,0.684211,0.263158,-0.051103
sample,0,0.736842,0.263158,0.203981
sample,0,0.789474,0.263158,0.550129
sample,0,0.842105,0.263158,0.589130
sample,0,0.894737,0.263158,0.302101
sample,0,0.947368,0.263158,-0.291699
sample,0,1.000000,0.263158,-0.121779
sample,0,0.000000,0.315789,0.629060
sample,0,0.052632,0.315789,0.272502
sample,0,0.105263,0.315789,-0.004257
sample,0,0.157895,0.315789,-0.276956
sample,0,0.210526,0.315789,-0.194369
sample,0,0.263158,0.315789,0.291823
sample,0,0.315789,0.315789,0.047912
sample,0,0.368421,0.315789,-0.010819
sample,0,0.421053,0.315789,-0.016175
sample,0,0.473684,0.315789,-0.468002
sample,0,0.526316,0.315789,-0.183463
sample,0,0.578947,0.315789,0.341057
sample,0,0.631579,0.315789,-0.149423
sample,0,0.684211,0.315789,-0.185880
sample,0,0.736842,0.315789,0.087683
sample,0,0.789474,0.315789,0.262949
sample,0,0.842105,0.315789,0.492690
sample,0,0.894737,0.315789,0.142814
sample,0,0.947368,0.315789,-0.347125
sample,0,1.000000,0.315789,-0.256425
sample,0,0.000000,0.368421,0.443294
sample,0,0.052632,0.368421,-0.506205
sample,0,0.105263,0.368421,-0.218908
sample,0,0.157895,0.368421,-0.129327
sample,0,0.210526,0.368421,0.278460
sample,0,0.263158,0.368421,0.341465
sample,0,0.315789,0.368421,-0.002885
sample,0,0.368421,0.368421,-0.078975
sample,0,0.421053,0.368421,0.193045
sample,0,0.473684,0.368421,-0.120990
sample,0,0.526316,0.368421,-0.039613
sample,0,0.578947,0.368421,-0.181264
sample,0,0.631579,0.368421,-0.304591
sample,0,0.684211,0.368421,-0.461578
sample,0,0.736842,0.368421,-0.189369
sample,0,0.789474,0.368421,0.218714
sample,0,0.842105,0.368421,0.397531
sample,0,0.894737,0.368421,0.552607
sample,0,0.947368,0.368421,0.285690
sample,0,1.000000,0.368421,0.589162
sample,0,0.000000,0.421053,0.291619
sample,0,0.052632,0.421053,-0.194976
sample,0,0.105263,0.421053,0.169897
sample,0,0.157895,0.421053,0.307317
sample,0,0.210526,0.421053,-0.048164
sample,0,0.263158,0.421053,0.133911
sample,0,0.315789,0.421053,0.106963
sample,0,0.368421,0.421053,0.303880
sample,0,0.421053,0.421053,0.389192
sample,0,0.473684,0.421053,0.350519
sample,0,0.526316,0.421053,-0.055808
sample,0,0.578947,0.421053,0.145818
sample,0,0.631579,0.421053,-0.102434
sample,0,0.684211,0.421053,-0.589084
sample,0,0.736842,0.421053,-0.268076
sample,0,0.789474,0.421053,-0.362792
sample,0,0.842105,0.421053,0.335924
sample,0,0.894737,0.421053,0.212251
sample,0,0.947368,0.421053,0.340006
sample,0,1.000000,0.421053,0.680677
sample,0,0.000000,0.473684,0.093501
sample,0,0.052632,0.473684,-0.175291
sample,0,0.105263,0.473684,-0.007750
sample,0,0.157895,0.473684,-0.208587
sample,0,0.210526,0.473684,-0.323360
sample,0,0.263158,0.473684,-0.034570
sample,0,0.315789,0.473684,0.483707
sample,0,0.368421,0.473684,0.405064
sample,0,0.421053,0.473684,0.313377
sample,0,0.473684,0.473684,0.480421
sample,0,0.526316,0.473684,0.276586
sample,0,0.578947,0.473684,0.370637
sample,0,0.631579,0.473684,0.283139
sample,0,0.684211,0.473684,0.038866
sample,0,0.736842,0.473684,0.128642
sample,0,0.789474,0.473684,0.117098
sample,0,0.842105,0.473684,0.068884
sample,0,0.894737,0.473684,-0.087131
sample,0,0.947368,0.473684,0.221357
sample,0,1.000000,0.473684,0.537638
sample,0,0.000000,0.526316,-0.917527
sample,0,0.052632,0.526316,-0.427747
sample,0,0.105263,0.526316,0.213067
sample,0,0.157895,0.526316,0.008032
sample,0,0.210526,0.526316,-0.221168
sample,0,0.263158,0.526316,0.596706
sample,0,0.315789,0.526316,0.484144
sample,0,0.368421,0.526316,0.180329
sample,0,0.421053,0.526316,0.205919
sample,0,0.473684,0.526316,0.176874
sample,0,0.526316,0.526316,0.222252
sample,0,0.578947,0.526316,0.032858
sample,0,0.631579,0.526316,0.203821
sample,0,0.684211,0.526316,0.059880
sample,0,0.736842,0.526316,-0.178382
sample,0,0.789474,0.526316,0.291229
sample,0,0.842105,0.526316,0.000912
sample,0,0.894737,0.526316,-0.037212
sample,0,0.947368,0.526316,0.062575
sample,0,1.000000,0.526316,0.027782
sample,0,0.000000,0.578947,0.014842
sample,0,0.052632,0.578947,-0.100501
sample,0,0.105263,0.578947,0.169834
sample,0,0.157895,0.578947,0.125305
sample,0,0.210526,0.578947,-0.578110
sample,0,0.263158,0.578947,-0.118749
sample,0,0.315789,0.578947,-0.367087
sample,0,0.368421,0.578947,-0.239437
sample,0,0.421053,0.578947,0.102956
sample,0,0.473684,0.578947,0.349283
sample,0,0.526316,0.578947,0.331512
sample,0,0.578947,0.578947,-0.303224
sample,0,0.631579,0.578947,0.186414
sample,0,0.684211,0.578947,-0.142744
sample,0,0.736842,0.578947,-0.372340
sample,0,0.789474,0.578947,-0.018108
sample,0,0.842105,0.578947,-0.288934
sample,0,0.894737,0.578947,-0.341836
sample,0,0.947368,0.578947,-0.134255
sample,0,1.000000,0.578947,-0.105561
sample,0,0.000000,0.631579,-0.026587
sample,0,0.052632,0.631579,-0.174291
sample,0,0.105263,0.631579,-0.477545
sample,0,0.157895,0.631579,-0.362882
sample,0,0.210526,0.631579,-0.332132
sample,0,0.263158,0.631579,0.132107
